generation,prey_fitness,predator_fitness,num_alive_end,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina,prey_neurons_connected_predator_retina,predator_neurons_connected_prey_retina,mutual_info
1,63663.000000,36337.000000,13,47857.933260,139431252.349394,1012.918763,0.000000,3,6,1,0.003715
1,62007.000000,37993.000000,16,56142.436992,11479842.603043,1124.832495,0.000000,3,6,1,0.002715
2,57478.000000,42522.000000,14,53930.244070,3717481.676738,1495.262313,0.000000,3,6,1,0.002177
3,57637.000000,42363.000000,11,55503.820837,47561943.797047,1296.053574,0.000000,3,6,1,0.005838
4,52352.000000,47648.000000,4,41276.121028,164286564.446626,1196.240598,0.000000,3,6,1,0.004819
5,71094.000000,28906.000000,21,57031.810417,52365104.129325,882.894078,0.000000,3,6,1,0.001242
6,57572.000000,42428.000000,11,45616.095755,178552636.903258,956.411308,0.000000,3,6,1,0.010409
7,64331.000000,35669.000000,19,58568.396175,8361414.054425,1193.216541,0.000000,4,5,1,0.002135
8,58690.000000,41310.000000,15,56390.099963,11627232.615211,1058.371462,0.000000,6,7,1,0.007010
9,63267.000000,36733.000000,16,51374.938423,139185927.617198,712.312616,0.240028,6,7,1,0.002420
10,69870.000000,30130.000000,21,57056.499261,32737577.470435,835.925078,0.236755,6,7,1,0.003565
11,66237.000000,33763.000000,19,50806.676729,58287094.463466,628.356844,0.324576,6,7,1,0.004488
12,64641.000000,35359.000000,17,49249.307282,67412466.943893,820.000475,0.300679,5,7,1,0.002785
13,63511.000000,36489.000000,17,55657.310405,38356011.822487,1055.133440,0.108802,5,7,1,0.003479
14,68893.000000,31107.000000,21,59095.875925,24986400.762811,729.755890,0.195642,5,7,1,0.004559
15,86989.000000,13011.000000,35,63509.648137,4020882.039003,719.815558,0.201065,5,7,1,0.003329
16,55523.000000,44477.000000,11,52784.389475,72280770.395527,919.044680,0.217883,5,7,1,0.005129
17,71991.000000,28009.000000,23,52528.171778,48394487.182942,563.921081,0.203785,5,7,2,0.004045
18,61632.000000,38368.000000,18,52933.703940,42765408.789687,895.223491,0.124430,5,7,1,0.005054
19,73013.000000,26987.000000,21,55493.376636,20618965.796347,879.698677,0.123794,5,7,1,0.003872
20,76772.000000,23228.000000,28,56367.159029,50051228.838371,709.535253,0.329533,5,7,1,0.002809
21,62358.000000,37642.000000,18,57718.556520,39161580.149893,925.776601,0.176240,5,7,1,0.002274
22,74926.000000,25074.000000,23,58726.020449,13194610.918273,739.506242,0.226954,5,7,1,0.004058
23,88331.000000,11669.000000,39,62575.770270,3854350.628648,623.251981,0.142735,5,7,1,0.003481
24,71652.000000,28348.000000,25,57267.553940,43006767.466371,816.897737,0.205517,5,7,1,0.002320
25,72177.000000,27823.000000,26,59176.925483,6017460.225669,940.730180,0.243313,5,7,1,0.002421
26,56490.000000,43510.000000,12,49237.116159,19766464.435199,958.005984,0.260908,5,7,1,0.003997
27,98021.000000,1979.000000,49,62610.953954,2265831.733730,692.872430,0.176868,5,7,1,0.001390
28,66095.000000,33905.000000,20,54499.241340,24770872.322319,855.564551,0.142808,6,6,1,0.009676
29,71512.000000,28488.000000,24,58331.313033,2938823.274934,921.461118,0.213614,6,6,1,0.003034
30,64689.000000,35311.000000,17,56539.260435,30056496.697735,824.730027,0.209282,6,7,2,0.004403
31,69714.000000,30286.000000,22,58245.779971,12482992.250493,764.229659,0.155468,6,7,1,0.002635
32,69689.000000,30311.000000,20,49981.462300,59703591.913963,734.322193,0.211352,6,7,1,0.003877
33,78511.000000,21489.000000,26,56133.451428,42234817.199529,627.392950,0.208737,6,7,1,0.002561
34,75847.000000,24153.000000,25,60104.676667,6311857.498891,786.384900,0.249554,6,7,1,0.004872
35,77885.000000,22115.000000,26,141700.931450,672695929.064760,1957.033955,0.456016,6,7,2,0.013235
36,82027.000000,17973.000000,33,135708.687697,578218170.384409,1538.977814,0.354296,6,7,1,0.011788
37,75400.000000,24600.000000,26,165985.155170,2076533972.818060,2134.295457,0.239472,6,7,1,0.008501
38,81062.000000,18938.000000,30,111322.216936,286878689.018658,1402.739008,0.306201,6,7,1,0.021259
39,87229.000000,12771.000000,40,180309.635052,1534094932.588051,1717.457847,0.333224,6,7,1,0.016497
40,86192.000000,13808.000000,38,167330.785790,1204654930.792649,1917.482508,0.280587,6,8,1,0.012157
41,76703.000000,23297.000000,27,137021.408210,579522492.882223,1727.594321,0.330112,6,8,1,0.009797
42,84132.000000,15868.000000,34,159444.159829,1214168355.411896,1708.348689,0.293869,6,8,1,0.012523
43,73321.000000,26679.000000,28,137249.503840,517936319.669172,1938.858818,0.249654,6,8,1,0.011658
44,76084.000000,23916.000000,28,144751.472320,1067001695.372832,2237.097982,0.386516,6,8,1,0.011804
45,85944.000000,14056.000000,33,141789.694262,812032788.084382,1772.008225,0.417311,6,8,1,0.008937
46,77597.000000,22403.000000,29,143058.631622,576912328.591457,1730.353127,0.330450,6,8,1,0.013352
47,79208.000000,20792.000000,31,153375.730149,651195001.492049,1715.880430,0.391927,6,8,1,0.011751
48,88956.000000,11044.000000,37,169513.469019,935366002.590245,1744.250936,0.377848,6,8,1,0.007432
49,77608.000000,22392.000000,28,128701.484038,540081725.889168,1388.805467,0.282065,6,8,1,0.010899
50,84367.000000,15633.000000,38,144349.611455,664214499.104409,1606.128624,0.421777,6,8,1,0.013285
51,77589.000000,22411.000000,28,125791.227401,472797084.376823,1530.691395,0.392674,6,8,1,0.012251
52,77819.000000,22181.000000,30,129338.639675,845842711.004519,1451.757798,0.306501,6,8,1,0.013530
53,80059.000000,19941.000000,30,136261.069665,999834568.409344,2026.412432,0.416794,6,8,5,0.013635
54,82090.000000,17910.000000,31,136582.362736,599609363.911536,1404.367893,0.336723,6,8,1,0.012368
55,91692.000000,8308.000000,40,138169.816914,1010977069.673870,1141.248343,0.640444,6,8,1,0.002317
56,78603.000000,21397.000000,33,134255.792384,523456754.754647,1392.932658,0.349824,6,8,1,0.014676
57,81716.000000,18284.000000,34,160323.280997,1547631612.826874,1768.091920,0.298305,6,8,1,0.014911
58,82135.000000,17865.000000,31,137655.556073,739553841.288331,1728.581760,0.502514,6,8,1,0.016920
59,88019.000000,11981.000000,36,147328.738497,1166689208.906616,1539.089742,0.532709,6,8,1,0.010557
60,84958.000000,15042.000000,34,153271.957784,907197188.978223,1667.193795,0.437477,6,8,1,0.009755
61,84400.000000,15600.000000,39,161214.170705,1863721040.519403,1925.631350,0.305988,6,8,1,0.011985
62,79092.000000,20908.000000,30,150495.081481,794995679.370216,1759.254107,0.428747,6,8,2,0.011348
63,84145.000000,15855.000000,33,178535.111379,1202886987.325362,2209.496286,0.300451,6,8,2,0.013214
64,81075.000000,18925.000000,31,190305.275433,1351440632.198922,2322.504546,0.223802,6,8,1,0.015402
65,82495.000000,17505.000000,33,179720.789859,2049311939.377008,2160.838170,0.403615,6,8,1,0.014423
66,80923.000000,19077.000000,33,185721.275049,1103273605.361820,1802.172166,0.209801,7,8,1,0.016187
67,87678.000000,12322.000000,39,162087.536211,1226024909.576407,1662.144815,0.248958,7,8,1,0.013950
68,87518.000000,12482.000000,38,180435.949568,1406163076.087603,1823.977067,0.206417,7,8,1,0.019591
69,82841.000000,17159.000000,33,199088.125392,1539796915.740386,2217.678368,0.259670,7,8,2,0.019175
70,65116.000000,34884.000000,22,74143.041101,117842918.375918,1107.464715,0.474189,9,10,1,0.007439
71,71560.000000,28440.000000,24,70268.101064,215796260.364252,860.680241,0.617233,9,10,2,0.005424
72,72780.000000,27220.000000,21,78064.415429,116116264.201439,1292.242629,0.559457,9,10,1,0.014687
73,98000.000000,2000.000000,49,94772.208231,234193544.626150,908.839556,0.598939,9,10,0,0.000000
74,78578.000000,21422.000000,28,80048.931717,102152231.281744,957.542048,0.559243,10,9,2,0.011268
75,74708.000000,25292.000000,22,81198.237650,104575702.010212,1263.897547,0.427598,10,9,1,0.008009
76,73716.000000,26284.000000,24,102858.765161,303939381.062756,1576.898133,0.344621,10,9,2,0.010175
77,97070.000000,2930.000000,48,105870.843219,577421085.760428,904.332812,0.413056,10,9,0,-0.000000
78,80293.000000,19707.000000,35,87861.407590,119713667.103778,1009.805178,0.622713,10,11,1,0.009750
79,75957.000000,24043.000000,28,81724.983514,85069534.733467,888.725564,0.363835,10,11,2,0.004125
80,71876.000000,28124.000000,25,96476.118627,305450106.242679,1416.678986,0.413328,10,11,2,0.006238
81,78521.000000,21479.000000,30,76774.779911,94810204.118397,1015.851536,0.581646,10,11,1,0.005363
82,81919.000000,18081.000000,31,124883.427200,1079184985.099449,1232.454468,0.302980,10,11,2,0.006195
83,84342.000000,15658.000000,33,149969.649204,1398540408.472044,1593.762756,0.372380,10,11,2,0.007594
84,81638.000000,18362.000000,33,137591.511891,578044533.825008,1354.464596,0.301237,11,12,2,0.010030
85,80252.000000,19748.000000,30,139801.604390,1008614250.286487,1702.569414,0.371076,11,12,1,0.008959
86,71160.000000,28840.000000,26,135383.851225,803781944.493463,1940.260952,0.174148,10,12,2,0.015197
87,70828.000000,29172.000000,26,151556.402470,846344242.697142,2047.077452,0.167452,10,12,1,0.009484
88,86540.000000,13460.000000,34,159730.073476,919666484.832699,1616.536889,0.183738,10,12,1,0.007628
89,87553.000000,12447.000000,36,185592.472202,1381256611.146094,1838.797353,0.173640,13,15,2,0.007813
90,77494.000000,22506.000000,26,61578.965185,25896920.546569,668.966411,0.376993,13,15,3,0.004691
91,69763.000000,30237.000000,18,62258.757873,85666292.450939,762.860681,0.282926,13,15,1,0.003641
92,86417.000000,13583.000000,34,86881.476640,126594890.762199,984.225870,0.341901,13,16,3,0.002779
93,74982.000000,25018.000000,25,75521.581058,45772266.532276,871.955768,0.297436,13,16,1,0.005712
94,77089.000000,22911.000000,25,72124.009289,37025934.251190,763.417665,0.279041,13,16,1,0.004894
95,64015.000000,35985.000000,19,56260.531431,117399408.998514,853.447038,0.318867,13,16,1,0.005799
96,67221.000000,32779.000000,18,67611.646369,58570471.175460,940.923776,0.222973,13,16,1,0.005072
97,69497.000000,30503.000000,19,67069.673722,73037425.888782,761.556900,0.365680,13,16,1,0.003915
98,78945.000000,21055.000000,28,79731.241817,89586549.051717,780.471267,0.281347,14,15,1,0.004454
99,75223.000000,24777.000000,20,85664.164087,263488920.244320,995.392042,0.294883,14,15,1,0.003738
100,73450.000000,26550.000000,24,69793.620835,110467231.294377,731.976316,0.312112,14,15,1,0.003302
101,64547.000000,35453.000000,19,69440.117705,71679415.390824,1034.491391,0.292083,14,15,1,0.009147
102,63385.000000,36615.000000,15,54155.229169,111556080.383266,834.949746,0.296680,14,15,1,0.005309
103,75987.000000,24013.000000,27,96969.598168,211533704.996663,1124.470137,0.225097,14,15,1,0.003616
104,98951.000000,1049.000000,49,128862.287767,1148747224.573604,1166.473946,0.218122,14,15,0,0.000000
105,63153.000000,36847.000000,17,76978.453252,57875390.631214,1025.234079,0.224838,14,15,1,0.006366
106,88175.000000,11825.000000,40,104552.832828,514931720.066635,902.386411,0.268376,14,15,1,0.003538
107,81420.000000,18580.000000,29,90489.246984,90136925.362322,968.137094,0.222321,14,15,1,0.004305
108,69028.000000,30972.000000,21,110717.362557,313894932.773197,1578.268957,0.200033,14,15,1,0.005005
